cycle,old_void_E_el,old_void_E_d,old_void_total_energy,old_void_d_max,old_void_d_mean,old_void_d_p99,old_void_d_p999,old_void_alpha_bar_monitor_max,old_void_alpha_bar_elem_max,old_void_alpha_bar_elem_p999,old_void_alpha_bar_elem_p99,old_void_alpha_bar_elem_mean,old_void_f_fatigue_min,old_void_f_fatigue_p001,old_void_f_fatigue_mean,old_void_psi_plus_elem_max,old_void_psi_plus_elem_p999,old_void_psi_plus_elem_p99,old_void_psi_plus_elem_mean,old_void_psi_tip_top10_mean,old_void_psi_nominal_mean,old_void_Kt_proxy,old_void_x_max_d,old_void_y_max_d,old_void_x_max_alpha_bar_elem,old_void_y_max_alpha_bar_elem,old_void_x_min_f_fatigue_elem,old_void_y_min_f_fatigue_elem,old_void_x_max_psi_plus_elem,old_void_y_max_psi_plus_elem,old_void_x_tip_d095,old_void_y_tip_d095,old_void_x_tip_d090,old_void_y_tip_d090,old_void_x_tip_d050,old_void_y_tip_d050,old_void_width_y_d050_near_tip,old_void_width_y_d090_near_tip,old_void_n_elem_d050_near_tip,old_void_n_elem_d090_near_tip,old_void_right_boundary_d095_count,old_void_right_boundary_d095_yspan,old_void_x_max_d_centered,old_void_x_max_alpha_bar_elem_centered,old_void_x_min_f_fatigue_elem_centered,old_void_x_max_psi_plus_elem_centered,old_void_x_tip_d095_centered,old_void_x_tip_d090_centered,old_void_x_tip_d050_centered,old_void_y_max_d_centered,old_void_y_max_alpha_bar_elem_centered,old_void_y_min_f_fatigue_elem_centered,old_void_y_max_psi_plus_elem_centered,old_void_y_tip_d095_centered,old_void_y_tip_d090_centered,old_void_y_tip_d050_centered,old_void_E_d_increment_from_c1,fine_void_E_el,fine_void_E_d,fine_void_total_energy,fine_void_d_max,fine_void_d_mean,fine_void_d_p99,fine_void_d_p999,fine_void_alpha_bar_monitor_max,fine_void_alpha_bar_elem_max,fine_void_alpha_bar_elem_p999,fine_void_alpha_bar_elem_p99,fine_void_alpha_bar_elem_mean,fine_void_f_fatigue_min,fine_void_f_fatigue_p001,fine_void_f_fatigue_mean,fine_void_psi_plus_elem_max,fine_void_psi_plus_elem_p999,fine_void_psi_plus_elem_p99,fine_void_psi_plus_elem_mean,fine_void_psi_tip_top10_mean,fine_void_psi_nominal_mean,fine_void_Kt_proxy,fine_void_x_max_d,fine_void_y_max_d,fine_void_x_max_alpha_bar_elem,fine_void_y_max_alpha_bar_elem,fine_void_x_min_f_fatigue_elem,fine_void_y_min_f_fatigue_elem,fine_void_x_max_psi_plus_elem,fine_void_y_max_psi_plus_elem,fine_void_x_tip_d095,fine_void_y_tip_d095,fine_void_x_tip_d090,fine_void_y_tip_d090,fine_void_x_tip_d050,fine_void_y_tip_d050,fine_void_width_y_d050_near_tip,fine_void_width_y_d090_near_tip,fine_void_n_elem_d050_near_tip,fine_void_n_elem_d090_near_tip,fine_void_right_boundary_d095_count,fine_void_right_boundary_d095_yspan,fine_void_x_max_d_centered,fine_void_x_max_alpha_bar_elem_centered,fine_void_x_min_f_fatigue_elem_centered,fine_void_x_max_psi_plus_elem_centered,fine_void_x_tip_d095_centered,fine_void_x_tip_d090_centered,fine_void_x_tip_d050_centered,fine_void_y_max_d_centered,fine_void_y_max_alpha_bar_elem_centered,fine_void_y_min_f_fatigue_elem_centered,fine_void_y_max_psi_plus_elem_centered,fine_void_y_tip_d095_centered,fine_void_y_tip_d090_centered,fine_void_y_tip_d050_centered,fine_void_E_d_increment_from_c1,diffuse_E_el,diffuse_E_d,diffuse_total_energy,diffuse_d_max,diffuse_d_mean,diffuse_d_p99,diffuse_d_p999,diffuse_alpha_bar_monitor_max,diffuse_alpha_bar_elem_max,diffuse_alpha_bar_elem_p999,diffuse_alpha_bar_elem_p99,diffuse_alpha_bar_elem_mean,diffuse_f_fatigue_min,diffuse_f_fatigue_p001,diffuse_f_fatigue_mean,diffuse_psi_plus_elem_max,diffuse_psi_plus_elem_p999,diffuse_psi_plus_elem_p99,diffuse_psi_plus_elem_mean,diffuse_psi_tip_top10_mean,diffuse_psi_nominal_mean,diffuse_Kt_proxy,diffuse_x_max_d,diffuse_y_max_d,diffuse_x_max_alpha_bar_elem,diffuse_y_max_alpha_bar_elem,diffuse_x_min_f_fatigue_elem,diffuse_y_min_f_fatigue_elem,diffuse_x_max_psi_plus_elem,diffuse_y_max_psi_plus_elem,diffuse_x_tip_d095,diffuse_y_tip_d095,diffuse_x_tip_d090,diffuse_y_tip_d090,diffuse_x_tip_d050,diffuse_y_tip_d050,diffuse_width_y_d050_near_tip,diffuse_width_y_d090_near_tip,diffuse_n_elem_d050_near_tip,diffuse_n_elem_d090_near_tip,diffuse_right_boundary_d095_count,diffuse_right_boundary_d095_yspan,diffuse_x_max_d_centered,diffuse_x_max_alpha_bar_elem_centered,diffuse_x_min_f_fatigue_elem_centered,diffuse_x_max_psi_plus_elem_centered,diffuse_x_tip_d095_centered,diffuse_x_tip_d090_centered,diffuse_x_tip_d050_centered,diffuse_y_max_d_centered,diffuse_y_max_alpha_bar_elem_centered,diffuse_y_min_f_fatigue_elem_centered,diffuse_y_max_psi_plus_elem_centered,diffuse_y_tip_d095_centered,diffuse_y_tip_d090_centered,diffuse_y_tip_d050_centered,diffuse_E_d_increment_from_c1
1,0.00485565,5.07731e-07,0.00485616,0.0768980612801551,3.18983973358806e-05,-3.59574554220648e-06,0.0117407968339646,2.52817,1.28802505196064,0.159130494101168,0.0546784541841144,0.0112818461096808,0.466689326712252,1.0,0.999958144756633,1.51702588943425,0.161633203859124,0.054678090833163,0.0113116342201754,0.971946066787072,0.0065938244121437,12.1409422762751,0.0006,-0.00035,-0.00045,-0.0004,0.000525,0.0005,-0.00045,-0.0004,,,,,,,,,0,0,0,0.0,0.0006,-0.00045,0.000525,-0.00045,,,,-0.00035,-0.0004,0.0005,-0.0004,,,,0.0,0.00486195,2.26662e-07,0.00486218,0.0523137085079859,5.42584976967315e-05,-3.49686875252348e-06,0.0206905285816242,1.08865,0.609451467159048,0.224194427264618,0.0663890760079417,0.0099406206761993,0.780689836879324,1.0,0.999915932139815,0.684621539711919,0.23573596682179,0.0663886431988258,0.0099846575971176,0.43389627217203,0.0055231945541923,8.86334774366318,0.001,0.001,0.001,-0.001,-0.000975,0.001,0.001,-0.001,,,,,,,,,0,0,0,0,0.001,0.001,-0.000975,0.001,,,,0.001,-0.001,0.001,-0.001,,,,0.0,0.00468274,0.0127191,0.0174019,1,0.140130305818613,1,1,1.03124,1.01374187938523,1.00008197622768,1.0000071102387,0.116394506877429,0.43647915100635,0.444395872886613,0.938270962764577,18.4954010346346,7.24508895499084,7.05752917044725,0.562692486731232,11.6195146047415,0.656970943104631,4.20553171257091,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.507,0.487,0.046,0.038,193,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.007000000000000006,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.013000000000000012,0.0
2,0.00485449,2.39495e-06,0.00485689,0.138403574393864,4.55528374275051e-05,-6.64780866962098e-06,0.0163981690774703,4.89122,2.56764586607677,0.316212021514813,0.109488182532293,0.0225636388379772,0.175025042548312,1.0,0.999853280392746,1.74945623541746,0.164837108762307,0.0546573515553105,0.0113322478035542,1.0916435936611,0.0065926078246788,12.8680225838528,0.0006,-0.00035,-0.00045,-0.0004,0.000525,0.0005,-0.00045,-0.0004,,,,,,,,,0,0,0,0.0,0.0006,-0.00045,0.000525,-0.00045,,,,-0.00035,-0.0004,0.0005,-0.0004,,,,1.8872189999999998e-06,0.00486093,7.00712e-07,0.00486163,0.0840326225061894,8.04301997673355e-05,-6.47248128146986e-06,0.0291411149278794,2.13522,1.2269071841489,0.454069987632795,0.133318499249778,0.0198805865099435,0.449885523391836,0.960009834597548,0.999719579703748,0.75231392379266,0.243299904086336,0.0668583202224109,0.0100131534374714,0.461969500186776,0.0055218499090815,9.14669827306835,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,0.001,0.001,0.001,0.001,,,,-0.001,-0.001,-0.001,-0.001,,,,4.7405000000000004e-07,0.00468222,0.0127184,0.0174006,1,0.140143494749316,1,1,1.06143,1.02704107172651,1.00016383703849,1.00001422061976,0.121683681930251,0.429093742787366,0.44434738357608,0.93827033436771,18.4953384733035,7.24505439116442,7.05786370529534,0.562962634940348,11.6194157283941,0.657287016590015,4.20450253231997,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.507,0.487,0.046,0.038,194,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.007000000000000006,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.013000000000000012,-7.00000000001047e-07
3,0.00485174,1.41238e-05,0.00486587,0.265931032799579,8.09106075670482e-05,-9.24768243958697e-06,0.0278999771563443,6.89289,3.83798126444267,0.479208008143106,0.16412580504185,0.0338429144141139,0.0822174777163671,0.989021358831206,0.999670330834599,2.57227169003306,0.168750998175017,0.054568347302725,0.0113862062091849,1.42474915676988,0.0065899247066571,14.7037793871643,0.0006,-0.00035,-0.00045,-0.0004,0.0006,-0.00035,0.0006,-0.00035,,,,,,,,,0,0,0,0.0,0.0006,-0.00045,0.0006,0.0006,,,,-0.00035,-0.0004,-0.00035,-0.00035,,,,1.3616069e-05,0.00485897,4.73249e-06,0.0048637,0.14321068744433,0.0001320104974292,-9.01757542781571e-06,0.0454473784540504,3.11206,1.86330247528906,0.68704345735602,0.200952745284817,0.0298193092596537,0.2500096180935,0.741405097491406,0.999418138685031,0.903380030369823,0.257061257923032,0.0672565364016114,0.0100726697305631,0.521262113363585,0.0055193135784907,9.71819358015575,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,0.001,0.001,0.001,0.001,,,,-0.001,-0.001,-0.001,-0.001,,,,4.505828e-06,0.00468208,0.0127175,0.0173995,1,0.140146042632412,1,1,1.09139,1.0402344578954,1.00024565792387,1.00002133116264,0.126974684908858,0.422060400768669,0.444298931751353,0.938269714093308,18.4952405351193,7.2450281064985,7.05795362840742,0.563039914464052,11.6193590164992,0.65737743773747,4.20420310134527,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.507,0.487,0.046,0.038,194,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.007000000000000006,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.013000000000000012,-1.6000000000009063e-06
4,0.00482873,0.000125612,0.00495434,0.93538449877896,0.0003452437029909,-1.14092907282312e-05,0.100007704462523,8.16887,6.5451455473975,0.644234722946564,0.21961404017419,0.0451586646485184,0.0485786081519582,0.764882761989523,0.99938798371899,90.9928662135504,0.198612975086388,0.0550851048209193,0.0136198035636443,17.7229591334478,0.0065671073976601,51.9494625253525,0.0006,-0.00035,-0.00045,-0.0004,0.0006,-0.00035,0.0006,-0.00035,,,0.0006,-0.00035,0.00175,-0.00115,0.00175,0.0,7,1,0,0.0,0.0006,-0.00045,0.0006,0.0006,,0.0006,0.00175,-0.00035,-0.0004,-0.00035,-0.00035,,-0.00035,-0.00115,0.000125104269,0.00485572,1.51884e-05,0.00487091,0.230888578739087,0.0002249375861778,-1.11747303174912e-05,0.0750594197074831,3.95344,2.50581633086987,0.923924086584003,0.268871471791981,0.039747433380086,0.153429694602987,0.525353975130327,0.998994001149958,1.15758131525785,0.280253937689093,0.0680136449834849,0.0101731252102701,0.617112181881633,0.0055156216021767,10.5775436899327,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,0.001,0.001,0.001,0.001,,,,-0.001,-0.001,-0.001,-0.001,,,,1.4961738e-05,0.00468206,0.0127166,0.0173987,1,0.140145595305204,1,1,1.12128,1.05340065405806,1.00032746523586,1.00002844173707,0.132266270882507,0.415314146357806,0.444250501788382,0.938269100362916,18.4951823655872,7.24501600539203,7.05798153793695,0.563062405745103,11.6193345129875,0.657403754283173,4.20411451828948,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.507,0.487,0.046,0.038,194,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.007000000000000006,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.013000000000000012,-2.5000000000007655e-06
5,0.00480511,0.000165082,0.0049702,1.00769154814667,0.0006524238976429,-1.3173696313682e-05,0.18495353490007,17.1267,10.332426423952,0.844953023693058,0.276259086607534,0.0564730361646372,0.0166004280013925,0.556664351708821,0.999035469050213,316.796035013926,0.238649214824346,0.0551397362138188,0.0226529950920233,85.6968870922495,0.0065437445712848,114.437761473533,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.0006,-0.00035,0.00165,-0.0003,0.00265,-0.000275,0.0048,-0.00095,0.003575,7.5e-05,20,3,0,0.0,0.0006,-0.00045,-0.00045,0.0006,0.00165,0.00265,0.0048,-0.00035,-0.0004,-0.0004,-0.00035,-0.0003,-0.000275,-0.00095,0.000164574269,0.00484884,4.37291e-05,0.00489257,0.390949206235439,0.00042317137792,-1.2783318873882e-05,0.118218864403734,4.54985,3.17250277848846,1.16840385832473,0.338407353046047,0.0496641571392607,0.0971789840721485,0.386513962970522,0.998430895577186,1.95809661484806,0.268298074623321,0.0669308986146014,0.0104725424059995,0.910987326568005,0.0055072186979056,12.8614521417428,0.001,0.001,0.001,-0.001,0.001,-0.001,0.001,0.001,,,,,,,,,0,0,0,0,0.001,0.001,0.001,0.001,,,,0.001,-0.001,-0.001,0.001,,,,4.3502438e-05,0.00468207,0.0127158,0.0173979,1,0.140144488144089,1,1,1.15116,1.06655907042665,1.00040926827581,1.00003555231715,0.137558037316132,0.408826975576057,0.444202088170673,0.938268492517065,18.4951563144854,7.24501137932785,7.05798894356452,0.563068791730934,11.6193253474027,0.657411226382589,4.20408896821618,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.507,0.487,0.046,0.038,194,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.007000000000000006,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.013000000000000012,-3.3000000000012186e-06
6,0.00477568,0.000201671,0.00497735,1.01489166540964,0.0010892269525588,0.0003125899242712,0.325763899481045,27.9367,14.6666168974779,0.979984906938176,0.333655190104442,0.0677941425996559,0.0080068148048684,0.462627588353573,0.998619592294218,572.104987575477,0.33598233844897,0.0562182683333034,0.0424835952303011,235.962605662477,0.0065141939308324,190.322989101885,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.004625,-7.5e-05,0.004625,-7.5e-05,0.0076,-0.000425,0.004475,0.000275,40,5,0,0.0,0.0006,-0.00045,-0.00045,0.00165,0.004625,0.004625,0.0076,-0.00035,-0.0004,-0.0004,-0.0003,-7.5e-05,-7.5e-05,-0.000425,0.000201163269,0.00482757,0.000117055,0.00494463,0.734856455563811,0.0010220761300566,0.0036580282648777,0.307157247323512,5.3297,3.83783408818682,1.38369208433126,0.401789332876001,0.0595725257898419,0.0655685165627498,0.337794697432613,0.997735934123167,7.90010926668257,0.367396613880962,0.0655236352949716,0.012355733810894,2.75989138674972,0.0054812696768669,22.4390987942472,0.001,0.001,0.001,-0.001,0.001,-0.001,0.001,0.001,,,,,0.003,-0.001,0.002,,4,0,0,0,0.001,0.001,0.001,0.001,,,0.003,0.001,-0.001,-0.001,0.001,,,-0.001,0.00011682833799999999,0.00468188,0.0127154,0.0173972,1,0.14014847808633,1,1,1.18103,1.07971546084826,1.0004910700712,1.00004266289872,0.14284874754836,0.402580223502526,0.44415368909947,0.938245334751581,18.4951465436536,7.24500965700778,7.05799098275501,0.563070671035253,11.6193219941567,0.657413425320374,4.20408133059105,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.507,0.487,0.046,0.038,194,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.007000000000000006,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.013000000000000012,-3.700000000000578e-06
7,0.00474113,0.000243963,0.00498509,1.01747025885883,0.0016642726727526,0.0100091004686452,0.445728871717842,38.2709,18.8278615467625,1.09586578382218,0.394096608406866,0.0791312282495348,0.0052514049365161,0.394316681391793,0.998080522904941,888.810813434505,0.450848672054647,0.0570367326841622,0.0786239876507536,504.229994532687,0.0064790193627116,278.971411174369,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0076,-0.000425,0.00845,-0.0004,0.011375,0.00075,0.00555,0.00105,62,11,0,0.0,0.0006,-0.00045,-0.00045,0.00165,0.0076,0.00845,0.011375,-0.00035,-0.0004,-0.0004,-0.0003,-0.000425,-0.0004,0.00075,0.00024345526900000002,0.00478182,0.00018299,0.00496481,0.998362960444939,0.0023450399446512,0.0381796599809778,0.584788645455,6.2612,4.67555644646179,1.47293270893867,0.474237377529624,0.0695728090180995,0.0541638921382956,0.26780634711934,0.996864863780183,81.7813156783248,1.37490698897291,0.0714607380182917,0.0305085704466916,20.6768646734012,0.0054242341051452,61.7409247720358,0.001,0.001,-0.000975,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.003,0.001,0.00705,0.003,0.004,0.0,13,2,0,0,0.001,-0.000975,0.001,0.001,0.003,0.003,0.00705,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.00018276333800000002,0.00467919,0.0127179,0.0173971,1,0.140220173574853,1,1,1.21069,1.0927775999163,1.00057285820909,1.00004977351503,0.148125472926445,0.396600919483709,0.444105311909724,0.937982606540847,18.495163964962,7.24500203705545,7.05803317345435,0.563102535905824,11.6193057490194,0.65745070731869,4.2039591898593,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.507,0.485,0.046,0.038,196,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.007000000000000006,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.015000000000000013,-1.1999999999998123e-06
8,0.00471147,0.000280359,0.00499183,1.01854019781024,0.0022183592410669,0.0229168025026195,0.564078605765054,47.7169,22.6464778353505,1.20046636615496,0.452826007481176,0.090454111626096,0.0041579644644988,0.346558523342461,0.997433141683424,1155.44572954689,0.579780532528242,0.0581238777742531,0.117622095529558,733.453600406875,0.0064489899484131,337.241080731133,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0102,-2.5e-05,0.011275,-0.000175,0.0144,-0.001725,0.00675,0.001475,83,14,0,0.0,0.0006,-0.00045,-0.00045,0.00165,0.0102,0.011275,0.0144,-0.00035,-0.0004,-0.0004,-0.0003,-2.5e-05,-0.000175,-0.001725,0.00027985126899999997,0.0047511,0.000222425,0.00497353,1.01127309858741,0.003295964865912,0.0720118602216678,0.743592044662767,9.13141,6.01176302097811,1.5248931058048,0.540378877450889,0.0794207928425727,0.0454867415689091,0.250636272728552,0.995914355482371,122.122385800484,1.62320332333433,0.0752076627244078,0.0526541407258809,42.9269474818966,0.0053857502444761,89.2774749656405,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.001,0.001,0.005,0.001,0.007,0.001,0.011,0.001,0.004,0.0,17,4,0,0,0.001,-0.000975,-0.000975,0.001,0.005,0.007,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000222198338,0.00467478,0.0127231,0.0173979,1,0.140338956309636,1,1,1.23767,1.10470919228777,1.00065443687291,1.00005688458565,0.153391000660293,0.391320264689833,0.444057072364102,0.937607074980741,18.4947106650639,7.24487882926918,7.05857605859072,0.563523222132381,11.6190327965786,0.657942903709163,4.20233707888071,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.509,0.495,0.046,0.038,197,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.009000000000000008,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.0050000000000000044,3.999999999998796e-06
9,0.00467535,0.000326106,0.00500145,1.01994368142375,0.0029270469415428,0.0459442003526544,0.687333696921991,56.2842,26.1893066054461,1.28925735898212,0.50626073402215,0.101797476183041,0.0035524272512692,0.313215970903388,0.996691725794064,1477.42666707451,0.838468442589345,0.0603391826764989,0.187883840361608,1016.72409068439,0.0064118150796292,398.208992075252,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0142,-0.0001,0.0149,0.0002,0.018575,0.001025,0.0069,0.0018,104,20,0,0.0,0.0006,-0.00045,-0.00045,0.00165,0.0142,0.0149,0.018575,-0.00035,-0.0004,-0.0004,-0.0003,-0.0001,0.0002,0.001025,0.000325598269,0.00471595,0.000265789,0.00498174,1.01673760738875,0.0044081148101081,0.109103312081443,0.79754939940126,12.4474,7.41141985155124,1.54781481949107,0.604264764816153,0.089241035255036,0.0283531387056318,0.244388658940569,0.994860231339182,171.097868609377,1.89890186301756,0.0792347421620832,0.0886031254661391,79.3139230487975,0.0053411522575609,121.85889526441,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.003,0.001,0.009,0.001,0.009,0.001,0.015,0.001,0.00805,0.0,30,5,0,0,0.001,-0.000975,-0.000975,0.003,0.009,0.009,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000265562338,0.00466687,0.0127338,0.0174007,1,0.140543776462187,1,1,1.25771,1.11365828444482,1.00073528263897,1.00006399732556,0.158661596016105,0.387464707457559,0.444009279734778,0.937177416161232,18.4932835608488,7.24447112730776,7.06021309495467,0.565059646770086,11.6181107179463,0.659740497406907,4.19644160051245,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.509,0.487,0.046,0.038,198,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.009000000000000008,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.013000000000000012,1.4699999999999436e-05
10,0.00463956,0.000370569,0.00501013,1.02038750455919,0.003636207083585,0.0759110563235259,0.782367354263149,64.2091,29.5663378663801,1.34435650524302,0.557050159571395,0.113094770648338,0.0030638452770433,0.2955813175968,0.995917320353827,1791.43643282693,0.988861097606262,0.0614960890326919,0.287344388684377,1390.33441917705,0.0063746049681432,467.017332285275,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.018225,-1.0164395367051601e-20,0.018925,0.000275,0.022425,-0.001525,0.007425,0.0018,118,26,0,0.0,0.0006,-0.00045,-0.00045,0.00165,0.018225,0.018925,0.022425,-0.00035,-0.0004,-0.0004,-0.0003,-1.0164395367051601e-20,0.000275,-0.001525,0.000370061269,0.00468006,0.000309907,0.00498997,1.01883151116161,0.0055666324442055,0.170552305425341,0.820687820658796,15.6846,8.8130580079216,1.55349625834206,0.664547524834349,0.0990030101190491,0.0204146709089321,0.239024149261053,0.993736130985117,221.682262007781,2.32275717618853,0.0854165473050091,0.135768807845547,127.20124393794,0.0052954913545673,154.986027743097,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.003,0.001,0.013,0.001,0.013,0.001,0.019025,0.001,0.00805,0.0,40,7,0,0,0.001,-0.000975,-0.000975,0.003,0.013,0.013,0.019025,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000309680338,0.00466176,0.0127417,0.0174035,1,0.140678995525413,1,1,1.27698,1.12227018802769,1.00081596584082,1.00007111037037,0.163914815682887,0.383838411759025,0.443961596633953,0.936737870050871,18.493097694044,7.2443302380789,7.06046606928615,0.565381955188088,11.6178344510474,0.660117621027191,4.19519284112015,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.499,0.481,0.501,0.483,0.511,0.491,0.046,0.038,199,113,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,-0.0010000000000000009,0.0010000000000000009,0.01100000000000001,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.019000000000000017,-0.017000000000000015,-0.009000000000000008,2.2599999999999357e-05
11,0.00460321,0.000415864,0.00501907,1.02058073713302,0.0043686478356942,0.108983765390631,0.830983802833218,71.6392,32.827376160519,1.38002483981246,0.604485634374418,0.124336702239474,0.0026033445855056,0.284583865269844,0.99508404548432,2130.03279213085,1.08471331622306,0.0626181116644803,0.398983462023158,1717.61536528576,0.0063368059077607,520.628280986779,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.0142,-0.0001,0.02215,-0.000125,0.02285,-0.000125,0.02685,-0.0006,0.00795,0.00195,121,25,0,0.0,0.0006,-0.00045,-0.00045,0.0142,0.02215,0.02285,0.02685,-0.00035,-0.0004,-0.0004,-0.0001,-0.000125,-0.000125,-0.0006,0.000415356269,0.00464297,0.000356976,0.00499995,1.02227812546718,0.0067841886842237,0.229701669869436,0.837950156008755,18.8306,10.2178968451991,1.57273829985886,0.71735040786149,0.108719185212285,0.0160826789839606,0.23494005343561,0.992552695327975,273.157088064484,19.8327407142989,0.0890089741920772,0.195546669936087,185.488299201254,0.0052479012047129,188.00328346324,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.003,0.001,0.017,0.001,0.017,0.001,0.023075,0.001,0.00805,0.0,50,9,0,0,0.001,-0.000975,-0.000975,0.003,0.017,0.017,0.023075,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000356749338,0.00465166,0.0127578,0.0174095,1,0.140930820794899,1,1,1.291,1.12859102773237,1.00088435051352,1.00007822390613,0.169169749391014,0.381225106580915,0.44392119239948,0.936275081784282,18.4914788900149,7.24390232616709,7.061717990085,0.567215186645375,11.6168333923084,0.662262447594816,4.18821353018225,0.001,0.481,0.499,0.519,0.499,0.519,0.001,0.517,0.501,0.495,0.501,0.481,0.513,0.493,0.046,0.036,191,94,0,0,-0.499,-0.0010000000000000009,-0.0010000000000000009,-0.499,0.0010000000000000009,0.0010000000000000009,0.013000000000000012,-0.019000000000000017,0.019000000000000017,0.019000000000000017,0.017000000000000015,-0.0050000000000000044,-0.019000000000000017,-0.007000000000000006,3.869999999999915e-05
